id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,JUVENTUS,83,38,26,5,7,76,43,33
2,INTER,82,38,24,10,4,81,36,45
3,ATALANTA,78,38,23,9,6,98,48,50
4,LAZIO,78,38,24,6,8,79,42,37
5,ROMA,70,38,21,7,10,77,51,26
6,MILAN,66,38,19,9,10,63,46,17
7,NAPOLI,62,38,18,8,12,61,50,11
8,SASSUOLO,51,38,14,9,15,69,63,6
9,HELLAS VERONA,49,38,12,13,13,47,51,-4
10,FIORENTINA,49,38,12,13,13,51,48,3
11,PARMA,49,38,14,7,17,56,57,-1
12,BOLOGNA,47,38,12,11,15,52,65,-13
13,UDINESE,45,38,12,9,17,37,51,-14
14,CAGLIARI,45,38,11,12,15,52,56,-4
15,SAMPDORIA,42,38,12,6,20,48,65,-17
16,TORINO,40,38,11,7,20,46,68,-22
17,GENOA,39,38,10,9,19,47,73,-26
18,LECCE,35,38,9,8,21,52,85,-33
19,BRESCIA,25,38,6,7,25,35,79,-44
20,SPAL,20,38,5,5,28,27,77,-50
